text,sentiment
"RT @funder: Corey Lewandowski introd Carter Page to Trump 2016 team: report

#trumpleaks #trumprussia #russiagate #trumpcolluded https://t.…",neutral
"RT @TheLastRefuge2: Extra, Extra context: New York Times is owned by a Mexican billionaire Carlos Slim who is a staunch political opponent…",positive
@MattGielen @MACA_Org @MickieMo @dirtybirderic @Mikel_Jollett @itsBraxtonR @realDonaldTrump She's not but trump is… https://t.co/xAvgBh6mnH,neutral
@DualDaniel Still not sure how Trump is involved. Please explain that part and only that part. Everything else is irrelevant.,negative
"RT @thenation: 300,000 registered voters in Wisconsin lacked strict voter ID—Trump won the state by 27,000 votes. https://t.co/7hOvUbcccT",neutral
"RT @BryanDawsonUSA: What would make Ted Nugent's Trump visit even more special? Bill O'Reilly.

https://t.co/KcEXVMd79v https://t.co/TUuqOH…",positive
"RT @rosannecash: Every single day, a new precedent of disgrace and cheapness in the Trump White House. https://t.co/tnIGgRRgPt",positive
"RT @Mikel_Jollett: BATSHIT, LEVEL 10: The United States currently does not have an Assistant Secretary of State for Europe so Trump is send…",neutral
"Trump’s Vow to Repeal Health Law Revives Talk of High-Risk Pools - NYTimes-often underfunded &amp; costly😌
@GOPHouse  https://t.co/tFDvPurFP5",positive
"RT @NolteNC: Things Jake Tapper doesn't want you to know...

BOMBSHELL Report: Entire Western World Helped Obama WIRETAP Trump 

https://t.…",neutral
RT @olgaNYC1211: Putin invested lots of money to put Trump into the WH for the Rosneft-Exxon deal. Stop the Exxon Waiver!! It was in Dossie…,neutral
"RT @USARedOrchestra: Some local news on how Trump is making America great again as Harley-Davidson announces 118 layoffs at York plant.
htt…",positive
RT @TrueFactsStated: WikiLeaks is a intelligence asset of a hostile foreign government. Trump worked hand in glove with them. @LouiseMensch,negative
"This is what DICTATOR$ DO!  CIA liaison is first casualty of conflict between intelligence agency and Trump

https://t.co/xkpVbG5Y0Q",positive
RT @CharlesPPierce: And now Will gets to pretend Trump isn't a logical product of the 40 years in which people thought he was smart.,positive
RT @nytimes: Who else is on the Trump inauguration donor list? Casino owners. Pro-team owners. And more. https://t.co/8FUQQb8Rtl,positive
"Release everything you got on #Trump and #GOP first, then we'll talk. https://t.co/UjaTf5fNAd",positive
RT @RealMuckmaker: Trump Took Half A Million Dollars From Venezuelan Dictator While Country Starved https://t.co/IY18l1vqr7 via @Bipartisan…,negative
RT @MSNBC: Excess Trump inauguration cash pairs with donor access https://t.co/Vz2kiBJblo https://t.co/0YwTebNssT,neutral
"RT @funder: RT if Trump will NEVER be your President.

And I mean NEVER.

#trumpleaks #trumprussia #resist",negative
"RT @Evan_Rosenfeld: .@DowChemical donates $1M to Trump, asks WH to ignore pesticide study. CEO is a close Trump adviser. h/t @eeisner512 ht…",neutral
RT @ZaibatsuNews: Trump held a secret meeting at Mar-a-Lago with former Colombian presidents https://t.co/StBJeGEjgD #p2 #ctl https://t.co/…,negative
"RT @LawyerRogelio: Trump gives a shout out to Pavarotti, calls him ""a good friend of mine"".

Pavarotti died 10 years ago in 2007. https://t…",positive
Trump threatens DEMS: In order to avoid gov shutdown agree to $$ for wall or I withhold ACA funds https://t.co/ZihSqwpCfP,neutral
"RT @foxandfriends: Media coverage of President Trump's first days in office largely negative, Media Research Center finds https://t.co/ZO8D…",negative
@IvankaTrump Secretary Trump - hahahahahaa - the kakistocracy rises!,neutral
RT @globalnews: Forty per cent of respondents said United Airlines is the worst airline in the U.S. https://t.co/tGFbiysOmX,negative
"RT @TheBigPharaoh: Trump dispatched a US gov aircraft and a top military aid to escort Aya Hijazi back to the US, due to meet POTUS in the…",positive
RT @susanj357: Trump calling Canada or anyone else for that matter a disgrace is beyond laughable. The man is the very definition of a disg…,negative
RT @carolafarrell52: The classroom is no place for this crap.  She should be fired.  👉🏻 https://t.co/LquV2BjAbj,negative
"RT @JH_rossini: Governo do Obama: Capitão América é um herói

Governo do Trump: Capitão América sempre foi um vilão",neutral
"RT @john_vandiver: Trump: ""I do not see a role in Libya."" Since US special ops troops on ground there now, presumably that means don't expe…",positive
RT @CNNTonight: Hillary Clinton blasts Trump on LGBT rights https://t.co/7qeQYQtYZG https://t.co/IXwIvsUEy7,neutral
Making Sense by Michael Reagan Dear Mr. President. I have some more friendly but important advice for you. It’s... https://t.co/QmDniX5q0y,positive
@senrobportman Wanna take a break from watching sports to share your thoughts on Trump's illegal bombings?,negative
RT @doctagee: #Trump The US has 400 million dollar surplus in dairy trade with Canada. Trump thinks Canada is being unfair. Is he an imbeci…,negative
RT @finalvent: “South Korea Tells Trump It's Actually Never Been a Part of China - Bloomberg” https://t.co/74FcFLuU7a,neutral
"RT @LindaSuhler: Do not pray for an easy life.
Pray for strength to endure a difficult one.

Pray for President Donald Trump, to help him h…",negative
@Impeach_D_Trump That's sad for her.,negative
"RT @mitchellvii: My question is, why the hell isn't the REPUBLICAN CONGRESS doing these things so Trump doesn't need EO's?  WHAT DO THEY DO…",neutral
"RT @Mikel_Jollett: Trump is not a king and she is not a princess and this is not how a democracy works.

Seriously. 

What. The. Fuck. http…",negative
"RT @kylegriffin1: Trump gives a shout out to Pavarotti, calls him ""a good friend of mine"".

Pavarotti died 10 years ago in 2007. —via @MSNB…",positive
"RT @awhawth: Hijazi and her brother will meet Trump, Ivanka, and Kushner at White House on Friday. Dina Powell helped arrange their departu…",neutral
@JohnC5359 @WalshFreedom @AdamParkhomenko @wikileaks pssst...@HilaryClinton's camp did TOO--And SHE sold 20% of US… https://t.co/O3s5uN4usx,neutral
God blesd Trump,neutral
@xdelmar59 CNN continues to be the WORST. They will never admit that they helped elect Trump and there is plenty of blood on their hands.,negative
"RT @DBloom451: Word is Ivanka &amp; Jared are pushing Trump to break another campaign pledge. Time we dial back their influence?

SHARE👉https:/…",neutral
