"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @OnaMouse: $tRump ~ ""#TaxPlan"" May cause the Next #GOP- Recession~Depression;
But Don't WORRY,
 ""The Mexicans will Pay for It!""
https://…",FALSE,0,NA,2017-04-29 03:30:35,FALSE,NA,"858161562506338304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cwsparker",1,TRUE,FALSE,NA,NA
"$tRump ~ ""#TaxPlan"" May cause the Next #GOP- Recession~Depression;
But Don't WORRY,
 ""The Mexicans will Pay for It!… https://t.co/dsrAOzq5Zk",FALSE,1,NA,2017-04-29 03:19:58,TRUE,NA,"858158893263855616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OnaMouse",1,FALSE,FALSE,NA,NA
"$Trump: #Truth not important; only #Belief important!  #Sale is key, the #Product is always negotiable, after!  Thi… https://t.co/M9cghyOXBu",FALSE,0,NA,2017-04-29 00:47:23,TRUE,NA,"858120493345406976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhroydsWorld",0,FALSE,FALSE,NA,NA
"#Postol #Syria $Trump
https://t.co/VyVHOrJy4g",FALSE,0,NA,2017-04-28 17:58:55,FALSE,NA,"858017700358094848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rixstepnews",0,FALSE,FALSE,NA,NA
"$TRUMP Tax Plan Would Shift Trillions From U.S. Coffers to the Richest https://t.co/RXD6W8vvjT",FALSE,0,NA,2017-04-28 05:53:34,FALSE,NA,"857835160846323713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DJDickGrayson",0,FALSE,FALSE,NA,NA
"$Trump: MX ppl bringing those problems w us.They’re bringing drugs. They’re bringing crime.They’re rapists. &amp; some, I assume, are good ppl.""",FALSE,0,NA,2017-04-28 05:01:07,FALSE,NA,"857821960830668800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrMJW",0,FALSE,FALSE,NA,NA
"LIES! Estate tax hits low income harder per <U+2105> $Trump Tax Plan Would Shift Trillions From U.S. Coffers to the Richest https://t.co/nfUW0AwMNw",FALSE,0,NA,2017-04-28 02:32:01,FALSE,NA,"857784436066205696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dekinefirearms",0,FALSE,FALSE,NA,NA
"As usual, $Trump supporters resort to name calling &amp; blame Obama rather than facts.  Flynn was fired!  Required new… https://t.co/VITqENAUG1",FALSE,0,NA,2017-04-28 00:09:27,TRUE,NA,"857748558807617536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mgeotsa",0,FALSE,FALSE,NA,NA
"@JordanUhl It was clear as day this would happen, look at what he did with $trump stock!!!! He took millions in pay and killed the equity.",FALSE,0,"JordanUhl",2017-04-27 17:15:54,FALSE,"857302646910275585","857644485467021312","68752979","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigs_in_DC",0,FALSE,FALSE,NA,NA
"38% of whites who hold at least a Bachelor's degree disagree with Trump. /100 days in: $Trump approval rating https://t.co/4b08vfunos",FALSE,0,NA,2017-04-27 01:34:47,FALSE,NA,"857407645900300289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ideasurge",0,FALSE,FALSE,NA,NA
"Vote to get #MiloCoin on #POSWallet #exchange here: https://t.co/b0z1s7fc3I $milo $trump $btc #milo #btc $doge #CincoDeMilo #FreeMilo #trump",FALSE,0,NA,2017-04-26 16:20:50,FALSE,NA,"857268239096848384",NA,"<a href=""http://backtoblaq.com"" rel=""nofollow"">Blaq for BlackBerry® 10</a>","Johnny_Armani_2",0,FALSE,FALSE,NA,NA
"$ES_F $TRUMP 1:30PM EXHIBITION on DEBT CEILING https://t.co/uSVffWxBdY",FALSE,0,NA,2017-04-26 16:01:59,FALSE,NA,"857263496848957440",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","JohnConstintine",0,FALSE,FALSE,NA,NA
"$ES_F $Trump Tax Plan - Pee on Middle Class - No Interest Or Education Deductions No Child Care - ripoff",FALSE,0,NA,2017-04-26 15:59:13,FALSE,NA,"857262798723854336",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","JohnConstintine",0,FALSE,FALSE,NA,NA
"This election is important. Dear #France - don't elect your own $Trump! #Frenchelections #lepen https://t.co/FQ752QA0Y3",FALSE,0,NA,2017-04-25 22:36:51,FALSE,NA,"857000479410319360",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","FerretSlave",0,FALSE,FALSE,NA,NA
"Vote to get #MiloCoin on #POSWallet #exchange here: https://t.co/b0z1s7fc3I $milo $trump $btc #milo #btc $ltc #CincoDeMilo #FreeMilo #trump",FALSE,0,NA,2017-04-25 03:41:57,FALSE,NA,"856714873841078272",NA,"<a href=""http://backtoblaq.com"" rel=""nofollow"">Blaq for BlackBerry® 10</a>","Johnny_Armani_2",1,FALSE,FALSE,NA,NA
"#Impeach45 Vital that $Trump$ be impeached ASAP. Damage done already may take years to undo. POTUS has ZERO grasp of anything presidential.",FALSE,0,NA,2017-04-25 03:27:58,FALSE,NA,"856711354056663040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MelifLewis",0,FALSE,FALSE,NA,NA
"Oh God! who cares? shut up for the good of our children, Mr. President! $Trump https://t.co/FkkQhYE0Lc",FALSE,0,NA,2017-04-24 15:39:25,FALSE,NA,"856533043955236865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BaoThien",0,FALSE,FALSE,NA,NA
"$Trump resorting to unilateralism with steel probe: #China Daily #tradewar https://t.co/WGTbuZqHWc",FALSE,0,NA,2017-04-24 04:55:49,FALSE,NA,"856371072756842496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","voteglobal",0,FALSE,FALSE,NA,NA
"$Trump Trade Tremors &amp; The Market Faces Economic &amp; Political Reality https://t.co/jGI90PvY1c $SPY $QQQ $DIA $SH… https://t.co/P8pZZtlMKB",FALSE,0,NA,2017-04-23 12:29:01,TRUE,NA,"856122737068257280",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","_ChrisVersace",0,FALSE,FALSE,NA,NA
"$Trump Trade Tremors &amp; The Market Faces Economic &amp; Political Reality https://t.co/WxXUUWAq0v $SPY $QQQ $DIA $SH… https://t.co/bt7n3sk4Mh",FALSE,0,NA,2017-04-23 12:29:00,TRUE,NA,"856122734186610688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TematicaGroup",0,FALSE,FALSE,NA,NA
